Words,Frequency
kuala,1
lumpur,1
sept,1
23,1
kenanga,2
research,3
said,6
gd,1
express,1
carrier,1
bhd,1
gdex,4
stands,1
to,6
benefit,1
from,3
the,18
pick,1
up,2
in,6
e,1
commerce,1
activities,1
as,2
demand,1
for,1
courier,1
services,1
on,6
back,2
of,10
more,1
line,1
purchases,1
is,5
expected,1
increase,1
wake,1
covid,2
19,2
pandemic,1
its,6
daily,1
technical,1
highlights,1
note,1
today,1
has,2
delivered,1
consistent,1
annual,1
net,3
earnings,1
ranging,1
between,1
rm24,1
million,6
and,3
rm37,1
over,2
last,1
five,1
financial,2
years,1
latest,1
year,3
ended,1
fy,1
june,2
2020,2
however,1
was,1
affected,1
by,2
related,1
disruptions,1
absence,1
gain,1
redemption,1
convertible,1
bonds,1
fy19,1
rm8,1
accounting,1
impact,1
lease,1
recognition,1
rm17,1
7,1
these,1
factors,1
consequently,1
caused,1
profit,1
slide,1
rm18,1
8,1
42,1
it,3
s,2
balance,1
sheet,1
remains,1
healthy,1
with,1
cash,2
holdings,1
&,1
short,1
term,1
funds,1
rm237,1
2,2
or,2
4,1
sen,5
per,1
share,3
end,1
company,1
been,1
using,1
some,1
pile,1
buy,1
own,1
shares,1
open,1
market,1
chart,1
price,2
following,1
pullback,1
a,2
high,1
44,1
5,1
late,1
may,1
currently,1
sideways,1
trading,1
pattern,1
after,1
bouncing,1
bottom,1
consolidation,1
range,1
recently,1
stock,1
eager,1
climb,1
further,1
this,1
supported,1
crossing,1
lower,1
boundary,1
bollinger,1
bands,1
we,1
have,1
set,1
our,2
resistance,1
thresholds,1
at,2
40,1
r1,1
14,1
upside,2
potential,2
45,1
r2,1
29,1
stop,1
loss,1
level,1
pegged,1
31,1
11,1
downside,1
risk,1
