Words,Frequency
subscribe,1
to,18
our,4
telegram,1
channel,1
for,4
latest,1
stories,1
and,10
breaking,1
news,1
following,2
recent,1
controversy,1
surrounding,1
j&t,8
express,5
a,20
staff,2
member,1
shared,1
that,15
he,7
saw,1
sharp,1
drop,1
in,12
the,35
number,2
of,12
parcels,6
processed,1
single,1
day,6
two,1
weeks,1
ago,1
courier,3
company,4
landed,1
hot,1
water,1
allegations,1
pay,1
cut,1
sparking,1
strike,1
by,5
employees,1
footage,1
workers,2
violently,1
handling,1
at,2
warehouse,1
then,2
made,2
its,3
rounds,1
on,5
social,1
media,1
recently,2
video,8
tiktok,3
user,1
wbas_photography,1
whose,1
real,1
name,1
is,5
muhammad,4
afiq,3
sazali,1
showed,2
faced,2
decline,1
business,2
after,5
fiasco,1
clip,1
noted,1
usually,1
there,2
would,3
be,5
100,3
150,1
delivered,2
incident,4
other,1
are,7
only,3
20,2
30,2
items,1
original,1
post,1
garnered,1
over,2
1,1
4,1
million,1
views,2
10,1
comments,2
has,6
also,4
been,3
reposted,1
several,1
times,1
across,1
different,1
platforms,2
an,2
interview,2
with,3
says,1
said,8
situation,3
depicted,1
reality,1
him,2
fellow,2
delivery,3
drivers,1
netizens,1
called,1
boycott,1
28,1
year,1
old,1
from,3
penang,1
explained,2
before,3
this,2
i,7
send,2
out,2
least,1
it,7
really,1
affected,3
my,3
work,4
just,2
share,1
never,2
intended,1
go,1
viral,1
however,2
was,3
recorded,1
last,1
week,2
since,2
picking,1
up,3
slowly,1
but,4
still,2
not,2
as,5
good,1
used,1
right,1
about,4
gone,1
70,1
80,1
afiq's,1
short,1
opening,1
doors,1
lorry,1
reveal,1
small,1
inside,1
meanwhile,2
during,1
added,1
colleagues,1
predicting,1
things,1
will,2
get,1
better,1
time,3
especially,1
due,2
fact,1
like,1
shopee,1
lazada,1
scheduling,1
promotions,1
march,1
it's,2
little,1
upsetting,1
all,1
us,2
including,1
those,1
who,2
sincere,1
their,1
understand,1
issue,2
very,1
serious,1
could,1
impact,1
customers',1
when,1
asked,1
reactions,1
got,1
his,2
received,1
mixed,1
some,2
people,1
empathetic,1
they,1
continue,1
support,1
others,1
upset,1
me,1
part,1
wedding,1
photographer,1
am,1
completely,1
dependent,1
job,1
driver,1
friends,1
full,2
actually,1
tough,1
few,1
members,1
have,1
resigned,1
many,1
reasons,1
watch,1
here,1
kembalilah,1
kepada,1
kami,1
jntexpress,1
abangjnt,1
fyp,1
foryoupage,1
denied,1
claims,1
reduced,2
workers',1
salaries,1
had,1
employee,1
commissions,1
rm1,1
per,1
parcel,1
rm0,1
malaysian,1
communications,1
multimedia,1
commission,2
mcmc,1
companies,2
fail,2
protect,2
rights,2
consumers,2
can,2
slapped,1
both,1
fine,1
jail,1
regulatory,1
body,1
fined,1
investigation,1
ministry,2
human,2
resources,2
found,1
triggered,1
extra,1
workload,1
dissatisfaction,1
changes,2
payment,1
structure,1
urged,1
hold,1
discussions,1
making,1
any,1
