Words,Frequency
petaling,1
jaya,1
pos,6
malaysia,7
says,1
it,2
is,6
looking,2
into,1
a,15
complaint,1
that,3
postman,2
had,2
injured,2
dog,5
s,3
eye,2
by,1
shooting,1
at,2
with,1
slingshot,2
from,1
across,1
house,1
gate,1
investigating,1
the,13
incident,3
and,4
will,1
take,1
appropriate,1
action,1
against,1
if,1
found,1
guilty,1
spokesperson,1
told,1
fmt,1
in,3
21,1
second,1
cctv,1
video,1
posted,1
on,2
independent,1
animal,3
rescue,1
facebook,2
page,1
earlier,1
today,2
man,1
uniform,1
seen,1
motorcycle,1
which,2
inside,1
its,1
owner,2
compound,1
he,3
then,2
uses,1
what,1
appears,1
to,5
be,1
fire,1
projectile,1
towards,1
scurries,1
away,1
post,1
states,1
left,1
allegedly,1
happened,1
kluang,1
johor,1
an,1
rights,2
group,1
called,1
utterly,1
shocking,1
disturbing,1
urged,1
apologise,1
affected,1
family,1
punish,1
perpetrator,1
rajesh,1
nagarajan,1
of,1
lawyers,1
for,1
said,2
stated,1
would,1
lodge,2
police,2
report,2
must,1
also,1
ensure,1
culprit,1
charged,1
