Words,Frequency
dhl,13
express,15
is,13
the,66
delivery,8
arm,2
of,36
german,3
multinational,2
logistics,5
firm,2
deutsche,5
post,5
which,3
listed,2
on,6
frankfurt,2
stock,2
exchange,2
photo,1
by,5
although,1
globalisation,4
has,16
been,5
hit,1
hard,1
because,1
covid,4
19,4
pandemic,5
it,5
had,6
a,28
different,1
effect,1
since,1
beginning,1
last,6
year,8
package,2
giant,1
most,1
recognisable,1
its,8
distinctive,1
red,1
and,39
yellow,1
corporate,1
colours,1
experienced,1
50,2
surge,1
in,40
e,10
commerce,10
shipments,1
asia,3
pacific,2
excluding,1
china,2
an,5
interview,1
with,16
edge,2
ceo,2
john,1
pearson,8
highlights,1
that,13
digitalisation,2
will,8
be,4
key,2
focus,1
area,1
for,18
courier,4
specialist,1
tackling,1
increased,2
demand,3
from,5
moreover,1
he,9
says,8
presented,2
company,3
opportunity,2
to,40
further,3
improve,1
operational,1
systems,2
terms,1
efficiency,1
resilience,1
growing,3
need,2
consumer,2
expectations,1
parcel,1
one,2
main,1
challenges,2
becoming,1
competitive,1
brand,1
cross,2
border,3
ensure,2
ever,1
number,2
parcels,1
are,3
delivered,1
shortest,1
time,1
possible,2
this,6
also,5
includes,1
tracking,1
managing,1
accuracy,1
consistency,1
timings,1
owing,1
complexity,2
arising,1
multiple,1
hand,1
offs,1
each,2
leg,1
journey,1
unexpected,1
issues,1
may,3
arise,1
during,3
clearance,1
fulfilment,2
require,1
close,1
cooperation,1
between,1
all,3
stakeholders,1
drive,1
adopt,1
standardisation,1
make,1
entire,1
process,1
seamless,2
truly,1
embracing,1
as,5
business,4
means,2
ensuring,1
customer,2
experience,1
end,2
while,4
navigating,1
aligning,1
various,1
moving,2
parts,1
supply,3
chain,2
stresses,1
ag,1
market,3
capitalisation,1
more,5
than,4
billion,6
rm202,1
2,4
about,2
20,1
owned,2
kfw,1
bankengruppe,1
state,1
development,2
bank,1
according,2
annual,1
report,1
2019,5
saw,1
consolidated,1
net,2
profit,2
grow,1
26,1
4,1
623,1
up,1
075,1
2018,1
division,1
whose,1
global,7
network,3
spans,1
220,1
countries,2
territories,1
some,1
105,1
000,1
employees,1
providing,1
services,2
around,1
7,1
million,4
customers,3
contributed,1
revenue,1
17,1
101,1
6,1
097,1
or,2
third,1
came,1
january,1
58,1
old,1
briton,1
was,1
appointed,2
thus,1
board,1
management,1
industry,2
veteran,1
stints,1
middle,1
east,1
including,1
saudi,1
arabia,1
dubai,1
singapore,1
us,3
belgium,1
citing,1
connectedness,2
index,2
2020,2
points,1
out,2
there,3
unprecedented,1
collapse,1
people,5
flows,2
example,1
70,1
decrease,1
travelling,1
foreign,1
strongly,1
affected,2
nevertheless,1
overall,2
surprisingly,1
robust,1
unlikely,1
fall,1
below,1
levels,1
seen,1
2008,1
09,1
financial,2
crisis,3
negatively,1
observes,1
current,1
shown,1
how,1
indispensable,1
